id,name,kind,latitude,longitude,belong_to
4632,morro agudo,city,-20.731,-48.058,170
4633,maraial,city,-8.803,-35.829,159
4634,iguatama,city,-20.174,-45.711,168
4635,mambai,city,-14.488,-46.113,164
4636,eunapolis,city,-16.378,-39.58,155
4637,jesuitas,city,-24.385,-53.388,171
4638,tapirai,city,-19.888,-46.02,168
4639,caraubas,city,-5.793,-37.557,160
4640,mulungu,city,-7.024,-35.462,158
4641,jacinto machado,city,-28.997,-49.764,173
4642,itai,city,-23.418,-49.091,170
4643,tibagi,city,-24.509,-50.414,171
4644,frei inocencio,city,-18.545,-41.922,168
4645,itaucu,city,-16.201,-49.608,164
4646,carolina,city,-7.333,-47.469,157
4647,praia grande,city,-29.197,-49.95,173
4648,valenca,city,-13.37,-39.073,155
4649,jaguaruana,city,-4.834,-37.781,156
4650,betim,city,-19.968,-44.198,168
4651,alcantara,city,-2.409,-44.415,157
4652,barracao,city,-26.254,-53.633,171
4653,monte alegre de minas,city,-18.871,-48.881,168
4654,nao me toque,city,-28.459,-52.821,172
4655,antas,city,-10.4,-38.333,155
4656,macarani,city,-15.568,-40.423,155
4657,brodowski,city,-20.991,-47.659,170
4658,ipueiras,city,-4.542,-40.719,156
4659,sao goncalo do para,city,-19.983,-44.859,168
4660,minas novas,city,-17.219,-42.59,168
4661,acegua,city,-31.868,-54.162,172
4662,itajuipe,city,-14.678,-39.375,155
4663,uruoca,city,-3.314,-40.557,156
4664,soest,city,52.17333,5.29167,29
4665,patrocinio paulista,city,-20.639,-47.282,170
4666,sao pedro dos ferros,city,-20.17,-42.524,168
4667,maracanau,city,-3.877,-38.626,156
4668,tabuleiro,city,-21.359,-43.248,168
4669,araripina,city,-7.576,-40.498,159
4670,itariri,city,-24.289,-47.174,170
4671,guariba,city,-21.36,-48.228,170
4672,parau,city,-5.774,-37.101,160
4673,severiano melo,city,-5.777,-37.958,160
4674,santo antonio das missoes,city,-28.511,-55.228,172
4675,aparecida do taboado,city,-20.087,-51.094,166
4676,seropedica,city,-22.744,-43.708,169
4677,brauna,city,-21.499,-50.316,170
4678,aracagi,city,-6.853,-35.381,158
4679,caetanopolis,city,-19.295,-44.419,168
4680,perdizes,city,-19.353,-47.293,168
4681,vera cruz,city,-29.715,-52.506,172
