id,name,acronym,kind,latitude,longitude,belong_to
123,puerto rico,puerto rico,country,18.220833,-66.590149,2
124,jamaica,jamaica,country,18.109581,-77.297508,2
125,cuba,cuba,country,21.521757,-77.781167,2
126,el salvador,el salvador,country,13.794185,-88.89653,2
127,guatemala,guatemala,country,15.783471,-90.23075899999999,2
128,belize,belize,country,17.189877,-88.49765,2
129,guadeloupe,guadeloupe,country,16.265,-61.55099999999999,2
130,ecuador,ecuador,country,-1.831239,-78.18340599999999,3
131,brazil,brazil,country,-14.235004,-51.92528,3
132,bolivia,bolivia,country,-16.290154,-63.58865299999999,3
133,chile,chile,country,-35.675147,-71.542969,3
134,paraguay,paraguay,country,-23.442503,-58.443832,3
135,suriname,suriname,country,3.919305,-56.027783,3
136,peru,peru,country,-9.189967,-75.015152,3
137,guyana,guyana,country,4.860416,-58.93018,3
138,colombia,colombia,country,4.570868,-74.297333,3
139,uruguay,uruguay,country,-32.522779,-55.765835,3
140,argentina,argentina,country,-38.416097,-63.61667199999999,3
141,venezuela,venezuela,country,6.42375,-66.58973,3
142,norte,N,region,-4.603292,-59.199124,131
143,nordeste,NE,region,-8.624365,-41.742753,131
144,centro-oeste,CO,region,-15.298172,-54.305408,131
145,sudeste,SE,region,-19.730012,-45.48358,131
146,sul,S,region,-27.542207,-52.252997,131
147,acre,AC,state,-9.11,-70.52,142
148,roraima,RR,state,2.05,-61.4,142
149,rondonia,RO,state,-10.9,-62.76,142
150,amapa,AP,state,1,-52,142
151,amazonas,AM,state,-5,-63,142
152,para,PA,state,-5.666667,-52.733333,142
153,tocantins,TO,state,-10.183333,-48.333333,142
154,alagoas,AL,state,-9.57,-36.55,143
155,bahia,BA,state,-12.52,-41.69,143
156,ceara,CE,state,-5.08,-39.65,143
157,maranhao,MA,state,-6.183333,-45.616667,143
158,paraiba,PB,state,-7.166667,-36.833333,143
159,pernambuco,PE,state,-8.34,-37.81,143
160,rio grande do norte,RN,state,-5.74,-36.55,143
161,sergipe,SE,state,-10.59,-37.38,143
162,piaui,PI,state,-8.233333,-43.1,143
163,federal district,DF,state,-15.795,-47.757778,144
164,goias,GO,state,-15.933333,-50.133333,144
165,mato grosso,MG,state,-15.566667,-56.066667,144
166,mato grosso do sul,MS,state,-20.442778,-54.645833,144
167,espirito santo,ES,state,-20.318889,-40.337778,145
168,minas gerais,MG,state,-19.816667,-43.95,145
169,rio de janeiro,RJ,state,-22.9,-43.2,145
170,sao paulo,SP,state,-23.533333,-46.633333,145
171,parana,PR,state,-24,-51,146
172,rio grande do sul,RS,state,-30,-53,146
173,santa catarina,SC,state,-27.25,-50.333333,146
174,associacao dos diplomados da escola superior de guerra,associacao dos diplomados da escola superior de guerra,instituition,,,1720
175,universidade federal de santa catarina,universidade federal de santa catarina,instituition,,,1720
176,university of pennsylvania,university of pennsylvania,instituition,,,3629
177,universidade do minho,universidade do minho,instituition,,,1545
178,university of ottawa,university of ottawa,instituition,,,5363
179,universidade de sao paulo,USP,instituition,,,1531
180,instituto butantan,instituto butantan,instituition,,,1531
181,universidade do estado de santa catarina,universidade do estado de santa catarina,instituition,,,1720
182,escola tecnica federal de santa catarina,escola tecnica federal de santa catarina,instituition,,,1720
183,empresa de pesquisa agropecuaria e extensao rural de santa catarina,empresa de pesquisa agropecuaria e extensao rural de santa catarina,instituition,,,1720
184,faculdade de tecnologia em saude cieph,faculdade de tecnologia em saude cieph,instituition,,,1720
185,faculdade de tecnologia senac florianopolis,faculdade de tecnologia senac florianopolis,instituition,,,1720
186,cornell university,cornell university,instituition,,,5894
187,universidade federal de lavras,universidade federal de lavras,instituition,,,1850
188,escola superior de agricultura de lavras,escola superior de agricultura de lavras,instituition,,,1850
189,centro universitario de lavras,centro universitario de lavras,instituition,,,1850
190,instituto de pesquisas energeticas e nucleares,instituto de pesquisas energeticas e nucleares,instituition,,,1531
191,hospital sirio libanes,hospital sirio libanes,instituition,,,1531
192,universidade federal de alfenas,universidade federal de alfenas,instituition,,,1793
193,universidade de brasilia,universidade de brasilia,instituition,,,1597
194,universidade paulista,universidade paulista,instituition,,,1531
195,instituto agronomico do parana,instituto agronomico do parana,instituition,,,1568
196,instituto israelita de ensino e pesquisa albert einstein,instituto israelita de ensino e pesquisa albert einstein,instituition,,,1531
197,associacao paulista de cirurgioes dentistas,associacao paulista de cirurgioes dentistas,instituition,,,1531
198,pontificia universidade catolica de sao paulo,pontificia universidade catolica de sao paulo,instituition,,,1531
199,instituto sedes sapientiae,instituto sedes sapientiae,instituition,,,1531
200,instituto dante pazzanese de cardiologia,instituto dante pazzanese de cardiologia,instituition,,,1531
201,fundacao antonio prudente,fundacao antonio prudente,instituition,,,1531
202,instituto de ciencias biomedicas,instituto de ciencias biomedicas,instituition,,,1531
203,instituto de botanica,instituto de botanica,instituition,,,1531
204,irmandade da santa casa de misericordia de sao paulo,irmandade da santa casa de misericordia de sao paulo,instituition,,,1531
205,fundacao getulio vargas sp,fundacao getulio vargas sp,instituition,,,1531
206,universidade sao judas tadeu,universidade sao judas tadeu,instituition,,,1531
207,centro universitario assuncao,centro universitario assuncao,instituition,,,1531
208,centro estadual de educacao tecnologica paula souza,centro estadual de educacao tecnologica paula souza,instituition,,,1531
209,hospital do servidor publico estadual,hospital do servidor publico estadual,instituition,,,1531
210,instituto de assistencia medica ao servidor publico estadual,instituto de assistencia medica ao servidor publico estadual,instituition,,,1531
211,hospital das clinicas da faculdade de medicina da universidade de sao paulo,hospital das clinicas da faculdade de medicina da universidade de sao paulo,instituition,,,1531
212,universidade estadual de feira de santana,universidade estadual de feira de santana,instituition,,,1853
213,universidade sao marcos,universidade sao marcos,instituition,,,1531
214,associacao de medicina intensiva brasileira,associacao de medicina intensiva brasileira,instituition,,,1531
215,hospital das clinicas da faculdade de medicina da usp,hospital das clinicas da faculdade de medicina da usp,instituition,,,1531
216,faculdade de ciencias medicas da santa casa de sao paulo,faculdade de ciencias medicas da santa casa de sao paulo,instituition,,,1531
217,fundacao getulio vargas,fundacao getulio vargas,instituition,,,1531
218,universidade presbiteriana mackenzie,universidade presbiteriana mackenzie,instituition,,,1531
219,escola paulista de medicina,escola paulista de medicina,instituition,,,1531
220,escola superior de propaganda e marketing,escola superior de propaganda e marketing,instituition,,,1531
221,hospital do servidor publico estadual de sao paulo,hospital do servidor publico estadual de sao paulo,instituition,,,1531
222,instituto de pesquisas tecnologicas do estado de sao paulo,instituto de pesquisas tecnologicas do estado de sao paulo,instituition,,,1531
223,universidade camilo castelo branco,universidade camilo castelo branco,instituition,,,1531
224,faculdade de arquitetura e urbanismo da universidade de sao paulo,faculdade de arquitetura e urbanismo da universidade de sao paulo,instituition,,,1531
225,escola de enfermagem da universidade de sao paulo,escola de enfermagem da universidade de sao paulo,instituition,,,1531
226,faculdade de educacao da usp,faculdade de educacao da usp,instituition,,,1531
227,universidade cidade de sao paulo,universidade cidade de sao paulo,instituition,,,1531
228,universidade de santo amaro,universidade de santo amaro,instituition,,,1531
229,instituto adolfo lutz,instituto adolfo lutz,instituition,,,1531
230,centro universitario belas artes de sao paulo,centro universitario belas artes de sao paulo,instituition,,,1531
231,faculdade de medicina veterinaria e zootecnia da universidade de sao paulo,faculdade de medicina veterinaria e zootecnia da universidade de sao paulo,instituition,,,1531
232,policia militar do estado de sao paulo,policia militar do estado de sao paulo,instituition,,,1531
233,escola politecnica,escola politecnica,instituition,,,1531
234,instituto de psicologia da universidade de sao paulo,instituto de psicologia da universidade de sao paulo,instituition,,,1531
235,faculdade de medicina da usp,faculdade de medicina da usp,instituition,,,1531
236,insper instituto de ensino e pesquisa,insper instituto de ensino e pesquisa,instituition,,,1531
237,federacao brasileira das sociedades de ginecologia e obstetricia rj,federacao brasileira das sociedades de ginecologia e obstetricia rj,instituition,,,1531
238,hospital heliopolis unidade de gestao assistencial 1,hospital heliopolis unidade de gestao assistencial 1,instituition,,,1531
239,centro universitario sao camilo,centro universitario sao camilo,instituition,,,1531
240,instituto biologico,instituto biologico,instituition,,,1531
241,centro brasileiro de analise e planejamento,centro brasileiro de analise e planejamento,instituition,,,1531
242,fundacao armando alvares penteado,fundacao armando alvares penteado,instituition,,,1531
243,instituto de ciencias biomedicas da universidade de sao paulo,instituto de ciencias biomedicas da universidade de sao paulo,instituition,,,1531
244,hospital do servidor publico municipal,hospital do servidor publico municipal,instituition,,,1531
245,faculdade de direito da universidade de sao paulo,faculdade de direito da universidade de sao paulo,instituition,,,1531
246,faculdade de saude publica da usp,faculdade de saude publica da usp,instituition,,,1531
247,escola de engenharia de sao carlos,escola de engenharia de sao carlos,instituition,,,1531
248,escola politecnica da universidade de sao paulo,escola politecnica da universidade de sao paulo,instituition,,,1531
249,faculdade fia de administracao e negocios,faculdade fia de administracao e negocios,instituition,,,1531
250,comissao nacional de energia nuclear,comissao nacional de energia nuclear,instituition,,,1531
251,faculdade de ciencias farmaceuticas da universidade de sao paulo,faculdade de ciencias farmaceuticas da universidade de sao paulo,instituition,,,1531
252,instituto sirio libanes de ensino e pesquisa,instituto sirio libanes de ensino e pesquisa,instituition,,,1531
253,centro universitario senac,centro universitario senac,instituition,,,1531
254,escola politecnica da usp,escola politecnica da usp,instituition,,,1531
255,agencia paulista de tecnologia dos agronegocios,agencia paulista de tecnologia dos agronegocios,instituition,,,1531
256,universidade cruzeiro do sul,universidade cruzeiro do sul,instituition,,,1531
257,faculdade de economia administracao e contabilidade usp,faculdade de economia administracao e contabilidade usp,instituition,,,1531
258,university of cambridge,university of cambridge,instituition,,,3422
259,faculdade de saude publica da universidade de sao paulo,faculdade de saude publica da universidade de sao paulo,instituition,,,1531
260,colegio brasileiro de cirurgioes,colegio brasileiro de cirurgioes,instituition,,,1531
261,fundacao escola de sociologia e politica de sao paulo,fundacao escola de sociologia e politica de sao paulo,instituition,,,1531
262,faculdade de tecnologia de sao paulo,faculdade de tecnologia de sao paulo,instituition,,,1531
263,faculdade de educacao da universidade de sao paulo,faculdade de educacao da universidade de sao paulo,instituition,,,1531
264,centro universitario adventista de sao paulo,centro universitario adventista de sao paulo,instituition,,,1531
265,faculdades oswaldo cruz,faculdades oswaldo cruz,instituition,,,1531
266,centro universitario italo brasileiro,centro universitario italo brasileiro,instituition,,,1531
267,instituto oceanografico da universidade de sao paulo,instituto oceanografico da universidade de sao paulo,instituition,,,1531
268,centro universitario das faculdades metropolitanas unidas,centro universitario das faculdades metropolitanas unidas,instituition,,,1531
269,associacao medica brasileira,associacao medica brasileira,instituition,,,1531
270,federacao brasileira das sociedades de ginecologia e obstetricia sp,federacao brasileira das sociedades de ginecologia e obstetricia sp,instituition,,,1531
271,faculdades integradas campos salles,faculdades integradas campos salles,instituition,,,1531
272,instituto de fisica da universidade de sao paulo,instituto de fisica da universidade de sao paulo,instituition,,,1531
273,faculdade de odontologia da universidade de sao paulo,faculdade de odontologia da universidade de sao paulo,instituition,,,1531
274,escola de administracao de empresas de sao paulo,escola de administracao de empresas de sao paulo,instituition,,,1531
275,hospital das clinicas da fmusp,hospital das clinicas da fmusp,instituition,,,1531
276,centro universitario barao de maua jardim paulista,centro universitario barao de maua jardim paulista,instituition,,,1531
277,universidade bandeirante de sao paulo,universidade bandeirante de sao paulo,instituition,,,1531
278,universidade mackenzie,universidade mackenzie,instituition,,,1531
279,fundacao jorge duprat figueiredo de seguranca e medicina do trabalho,fundacao jorge duprat figueiredo de seguranca e medicina do trabalho,instituition,,,1531
280,faculdades metropolitanas unidas,faculdades metropolitanas unidas,instituition,,,1531
281,escola tecnica federal de sao paulo,escola tecnica federal de sao paulo,instituition,,,1531
282,universidade federal de sao paulo escola paulista de medicina,universidade federal de sao paulo escola paulista de medicina,instituition,,,1531
283,centro universitario salesiano sao paulo,centro universitario salesiano sao paulo,instituition,,,1531
284,faculdade casper libero,faculdade casper libero,instituition,,,1531
285,instituto federal de sao paulo,instituto federal de sao paulo,instituition,,,1531
286,fac de filosofia letras e ciencias humanas usp,fac de filosofia letras e ciencias humanas usp,instituition,,,1531
287,faculdade santa marcelina,faculdade santa marcelina,instituition,,,1531
288,museu de zoologia da universidade de sao paulo,museu de zoologia da universidade de sao paulo,instituition,,,1531
289,faculdade de saude publica,faculdade de saude publica,instituition,,,1531
290,conselho brasileiro de oftalmologia,conselho brasileiro de oftalmologia,instituition,,,1531
291,instituto de matematica e estatistica,instituto de matematica e estatistica,instituition,,,1531
292,universidade anhembi morumbi,universidade anhembi morumbi,instituition,,,1531
293,colegio rio branco,colegio rio branco,instituition,,,1531
294,colegio objetivo,colegio objetivo,instituition,,,1531
295,colegio dante alighieri,colegio dante alighieri,instituition,,,1531
296,centro sao camilo de desenvolvimento em administracao da saude,centro sao camilo de desenvolvimento em administracao da saude,instituition,,,1531
297,colegio visconde de porto seguro,colegio visconde de porto seguro,instituition,,,1531
298,colegio santo andre,colegio santo andre,instituition,,,1531
299,colegio santa cruz,colegio santa cruz,instituition,,,1531
300,universidade nove de julho,universidade nove de julho,instituition,,,1531
301,instituto de geociencias,instituto de geociencias,instituition,,,1531
302,escola de enfermagem da usp,escola de enfermagem da usp,instituition,,,1531
303,centro universitario claretiano,centro universitario claretiano,instituition,,,1531
304,faculdade mozarteum de sao paulo,faculdade mozarteum de sao paulo,instituition,,,1531
305,faculdade de informatica e administracao paulista,faculdade de informatica e administracao paulista,instituition,,,1531
306,faculdade de ciencias da saude de sao paulo,faculdade de ciencias da saude de sao paulo,instituition,,,1531
307,universidade ibirapuera,universidade ibirapuera,instituition,,,1531
308,faculdade teologica batista de sao paulo,faculdade teologica batista de sao paulo,instituition,,,1531
309,instituto de fisica,instituto de fisica,instituition,,,1531
310,faculdade autonoma de direito,faculdade autonoma de direito,instituition,,,1531
311,faculdade paulista de artes,faculdade paulista de artes,instituition,,,1531
312,trevisan escola superior de negocios,trevisan escola superior de negocios,instituition,,,1531
313,escola de comunicacoes e artes da universidade de sao paulo,escola de comunicacoes e artes da universidade de sao paulo,instituition,,,1531
314,faculdade de filosofia letras e ciencias humanas,faculdade de filosofia letras e ciencias humanas,instituition,,,1531
315,faculdade de filosofia letras e ciencias humanas da usp,faculdade de filosofia letras e ciencias humanas da usp,instituition,,,1531
316,centro universitario fecap,centro universitario fecap,instituition,,,1531
317,faculdade de engenharia sao paulo,faculdade de engenharia sao paulo,instituition,,,1531
318,instituto de quimica da universidade de sao paulo,instituto de quimica da universidade de sao paulo,instituition,,,1531
319,fiam faam centro universitario,fiam faam centro universitario,instituition,,,1531
320,faculdade paulista de servico social,faculdade paulista de servico social,instituition,,,1531
321,instituto de astronomia geofisica e ciencias atmosfericas,instituto de astronomia geofisica e ciencias atmosfericas,instituition,,,1531
322,instituto de biociencias da universidade de sao paulo,instituto de biociencias da universidade de sao paulo,instituition,,,1531
323,instituto de biociencias da usp,instituto de biociencias da usp,instituition,,,1531
324,fundacao instituto de fisica teorica,fundacao instituto de fisica teorica,instituition,,,1531
325,universidade anhanguera de sao paulo,universidade anhanguera de sao paulo,instituition,,,1531
326,instituto sao paulo de estudos superiores,instituto sao paulo de estudos superiores,instituition,,,1531
327,universidade federal do rio de janeiro,universidade federal do rio de janeiro,instituition,,,1524
328,universidade federal do rio grande,universidade federal do rio grande,instituition,,,1554
329,banco central do brasil,banco central do brasil,instituition,,,1597
330,fundacao oswaldo cruz,fundacao oswaldo cruz,instituition,,,1587
331,universidade candido mendes,universidade candido mendes,instituition,,,1524
332,escola nacional de saude publica,escola nacional de saude publica,instituition,,,1524
333,universidade gama filho,universidade gama filho,instituition,,,1524
334,pontificia universidade catolica do rio de janeiro,pontificia universidade catolica do rio de janeiro,instituition,,,1524
335,universidade federal do estado do rio de janeiro,universidade federal do estado do rio de janeiro,instituition,,,1524
336,associacao instituto nacional de matematica pura e aplicada,associacao instituto nacional de matematica pura e aplicada,instituition,,,1524
337,universidade estacio de sa,universidade estacio de sa,instituition,,,1524
338,escola superior de guerra,escola superior de guerra,instituition,,,1524
339,fundacao getulio vargas rj,fundacao getulio vargas rj,instituition,,,1524
340,universidade do estado do rio de janeiro,universidade do estado do rio de janeiro,instituition,,,1524
341,universidade ceuma,universidade ceuma,instituition,,,1732
342,universidade nilton lins,universidade nilton lins,instituition,,,1553
343,universidade federal do amazonas,universidade federal do amazonas,instituition,,,1553
344,instituto oswaldo cruz,instituto oswaldo cruz,instituition,,,1524
345,instituto nacional de cancer,instituto nacional de cancer,instituition,,,1524
346,instituto brasileiro de administracao municipal,instituto brasileiro de administracao municipal,instituition,,,1524
347,instituto militar de engenharia,instituto militar de engenharia,instituition,,,1524
348,sociedade brasileira de pediatria,sociedade brasileira de pediatria,instituition,,,1524
349,instituto fernandes figueira,instituto fernandes figueira,instituition,,,1524
350,escola de aperfeicoamento de oficiais,escola de aperfeicoamento de oficiais,instituition,,,1524
351,universidade da forca aerea,universidade da forca aerea,instituition,,,1524
352,centro de tecnologia mineral,centro de tecnologia mineral,instituition,,,1524
353,instituto universitario de pesquisas do rio de janeiro,instituto universitario de pesquisas do rio de janeiro,instituition,,,1524
354,faculdades integradas simonsen,faculdades integradas simonsen,instituition,,,1524
355,hospital dos servidores do estado,hospital dos servidores do estado,instituition,,,1524
356,universidade castelo branco,universidade castelo branco,instituition,,,1524
357,instituto brasileiro de medicina de reabilitacao,instituto brasileiro de medicina de reabilitacao,instituition,,,1524
358,fundacao getulio vargas matriz,fundacao getulio vargas matriz,instituition,,,1524
359,fundacao dom cabral,fundacao dom cabral,instituition,,,1524
360,universidade santa ursula,universidade santa ursula,instituition,,,1524
361,escola nacional de ciencias estatisticas,escola nacional de ciencias estatisticas,instituition,,,1524
362,petroleo brasileiro rio de janeiro matriz,petroleo brasileiro rio de janeiro matriz,instituition,,,1524
363,sociedade brasileira de cardiologia,sociedade brasileira de cardiologia,instituition,,,1524
364,federacao brasileira das sociedades de ginecologia e obstetricia,federacao brasileira das sociedades de ginecologia e obstetricia,instituition,,,1524
365,escola de guerra naval,escola de guerra naval,instituition,,,1524
366,instituto nacional da propriedade industrial,instituto nacional da propriedade industrial,instituition,,,1524
367,instituto brasileiro de mercado de capitais,instituto brasileiro de mercado de capitais,instituition,,,1524
368,instituto de biofisica carlos chagas filho,instituto de biofisica carlos chagas filho,instituition,,,1524
369,santa casa de misericordia do rio de janeiro,santa casa de misericordia do rio de janeiro,instituition,,,1524
370,instituto metodista bennett,instituto metodista bennett,instituition,,,1524
371,centro universitario augusto motta,centro universitario augusto motta,instituition,,,1524
372,universidade do rio de janeiro,universidade do rio de janeiro,instituition,,,1524
373,instituto de pesquisa jardim botanico do rio de janeiro,instituto de pesquisa jardim botanico do rio de janeiro,instituition,,,1524
374,centro brasileiro de pesquisas fisicas,centro brasileiro de pesquisas fisicas,instituition,,,1524
375,hospital dos servidores do estado do rio de janeiro,hospital dos servidores do estado do rio de janeiro,instituition,,,1524
376,centro de pesquisas de energia eletrica,centro de pesquisas de energia eletrica,instituition,,,1524
377,observatorio nacional,observatorio nacional,instituition,,,1524
378,faculdades integradas silva e souza,faculdades integradas silva e souza,instituition,,,1524
379,universidade estadual do rio de janeiro,universidade estadual do rio de janeiro,instituition,,,1524
380,instituto nacional de tecnologia,instituto nacional de tecnologia,instituition,,,1524
381,universidade veiga de almeida,universidade veiga de almeida,instituition,,,1524
382,associacao brasileira de psiquiatria,associacao brasileira de psiquiatria,instituition,,,1524
383,escola tecnica federal de quimica do rio de janeiro,escola tecnica federal de quimica do rio de janeiro,instituition,,,1524
384,escola tecnica federal de quimica,escola tecnica federal de quimica,instituition,,,1524
385,centro federal de educacao tecnologica celso suckow da fonseca,centro federal de educacao tecnologica celso suckow da fonseca,instituition,,,1524
386,colegio nossa senhora do rosario,colegio nossa senhora do rosario,instituition,,,1524
387,fundacao tecnico educacional souza marques,fundacao tecnico educacional souza marques,instituition,,,1524
388,colegio pedro ii,colegio pedro ii,instituition,,,1524
389,colegio militar do rio de janeiro,colegio militar do rio de janeiro,instituition,,,1524
390,faculdade sao judas tadeu,faculdade sao judas tadeu,instituition,,,1524
391,faculdade de humanidades pedro ii,faculdade de humanidades pedro ii,instituition,,,1524
392,faculdade internacional signorelli,faculdade internacional signorelli,instituition,,,1524
393,faculdades integradas de jacarepagua,faculdades integradas de jacarepagua,instituition,,,1524
394,escola naval,escola naval,instituition,,,1524
395,centro universitario da cidade,centro universitario da cidade,instituition,,,1524
396,faculdade de reabilitacao da asce,faculdade de reabilitacao da asce,instituition,,,1524
397,centro universitario moacyr sreder bastos,centro universitario moacyr sreder bastos,instituition,,,1524
398,faculdade de economia e financas ibmec,faculdade de economia e financas ibmec,instituition,,,1524
399,faculdade sao jose,faculdade sao jose,instituition,,,1524
400,instituto de engenharia nuclear,instituto de engenharia nuclear,instituition,,,1524
401,faculdades integradas helio alonso,faculdades integradas helio alonso,instituition,,,1524
402,centro universitario estadual da zona oeste,centro universitario estadual da zona oeste,instituition,,,1524
403,faculdade de filosofia ciencias e letras souza marques,faculdade de filosofia ciencias e letras souza marques,instituition,,,1524
404,museu de astronomia e ciencias afins,museu de astronomia e ciencias afins,instituition,,,1524
405,universidade federal de uberlandia,universidade federal de uberlandia,instituition,,,1727
406,universidade do estado de mato grosso,universidade do estado de mato grosso,instituition,,,1665
407,centro universitario do triangulo,centro universitario do triangulo,instituition,,,1727
408,faculdade de medicina da universidade federal de minas gerais,faculdade de medicina da universidade federal de minas gerais,instituition,,,1727
409,empresa de pesquisa agropecuaria de minas gerais,empresa de pesquisa agropecuaria de minas gerais,instituition,,,1727
