Ano;Cód.IES;Nome da IES;Sigla da IES;Categ. Administrativa;Org. Acadêmica;UF da IES;Nr. de Cursos Avaliados no Triênio;Nr. de Cursos com CPC no Triênio;alfa(Proporção de Graduandos);Conceito médio da Graduação;beta(Proporção de Mestrandos - Equivalente);Conceito Médio do Mestrado;Conceito Médio do doutorado;IGC (Contínuo);IGC (faixa);Obs:
2013;1586;UNIVERSIDADE DO VALE DO SAPUCAÍ;UNIVÁS;Privada;Universidade;MG;16;13;0.9640;2.5177;1.0000;4.0000;0.0000;2.5890;3;
2013;1807;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DO CEARÁ;IFCE;Pública;Instituto Federal de Educação. Ciência e Tecnologia;CE;27;21;0.9882;2.4460;1.0000;3.0000;0.0000;2.4644;3;
2013;1808;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO;IFES;Pública;Instituto Federal de Educação. Ciência e Tecnologia;ES;7;5;0.8100;3.2511;1.0000;3.0000;0.0000;3.3934;4;
2013;1809;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DE PERNAMBUCO;IFPE;Pública;Instituto Federal de Educação. Ciência e Tecnologia;PE;6;4;1.0000;2.6010;0.0000;0.0000;0.0000;2.6010;3;
2013;1810;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DE SÃO PAULO;IFSP;Pública;Instituto Federal de Educação. Ciência e Tecnologia;SP;20;20;0.9856;2.9536;1.0000;3.0000;0.0000;2.9686;4;
2013;1811;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DE GOIÁS;IFG;Pública;Instituto Federal de Educação. Ciência e Tecnologia;GO;9;9;0.9596;2.9276;1.0000;3.0000;0.0000;2.9709;4;
2013;1812;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DO AMAZONAS;IFAM;Pública;Instituto Federal de Educação. Ciência e Tecnologia;AM;7;7;1.0000;2.8994;0.0000;0.0000;0.0000;2.8994;3;
2013;1813;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DO PARÁ;IFPA;Pública;Instituto Federal de Educação. Ciência e Tecnologia;PA;15;12;1.0000;1.8605;0.0000;0.0000;0.0000;1.8605;2;
2013;1820;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DO PIAUÍ;IFPI;Pública;Instituto Federal de Educação. Ciência e Tecnologia;PI;18;18;1.0000;2.7225;0.0000;0.0000;0.0000;2.7225;3;
2013;2564;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;Pública;Universidade;PB;42;42;0.7424;3.1345;0.5264;3.8944;2.3652;3.4330;4;
2013;3151;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;UNOCHAPECÓ;Privada;Universidade;SC;29;29;0.9804;2.6221;1.0000;3.0000;0.0000;2.6491;3;
2013;3160;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DE ALAGOAS;IFAL;Pública;Instituto Federal de Educação. Ciência e Tecnologia;AL;4;4;1.0000;2.8515;0.0000;0.0000;0.0000;2.8515;3;
2013;3161;Instituto Federal de Educação. Ciência e Tecnologia do Sertão Pernambucano;;Pública;Instituto Federal de Educação. Ciência e Tecnologia;PE;4;3;1.0000;2.0607;0.0000;0.0000;0.0000;2.0607;3;
2013;3162;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DE SANTA CATARINA;IFSC;Pública;Instituto Federal de Educação. Ciência e Tecnologia;SC;3;3;0.8889;3.2853;1.0000;3.0000;0.0000;3.3647;4;
2013;3163;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO;IFRJ;Pública;Instituto Federal de Educação. Ciência e Tecnologia;RJ;8;8;0.9455;2.8208;1.0000;3.5323;0.0000;2.8996;3;
